"NAME","POPESTIMATE2016","Pop100k","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","OtherWeapon.per100k","DestructiveDevice.per100k","MachineGun.per100k","Silencer.per100k","Rifle.per100k","Shotgun.per100k","Total.per100k"
"California",39250017,392.50017,3884,256420,29516,11702,9472,13423,324417,9.89553711530876,653.299080099762,75.1999674293135,29.8139998257835,24.1324736241516,34.198711302469,826.539769396788
"Texas",27862596,278.62596,6740,224498,34848,165499,29509,7487,468581,24.1901364826163,805.732531168309,125.070901505373,593.982699960908,105.909011493401,26.8711501254226,1681.75643073603
"Florida",20612439,206.12439,3448,151672,34373,61015,18409,8310,277227,16.7277632695481,735.827526281582,166.758528672905,296.010578854836,89.3101490803684,40.3154619402391,1344.95000809948
"New York",19745289,197.45289,1632,41055,12210,3466,4594,7449,70406,8.26526266594528,207.923013940186,61.8375350191127,17.5535541667686,23.2663092447014,37.725454410923,356.571129447637
"Illinois",12801539,128.01539,979,101572,30563,1717,2278,1716,138825,7.64751800545231,793.435851736264,238.744732176342,13.4124498624736,17.7947354611035,13.4046383016917,1084.43992554333
"Pennsylvania",12784227,127.84227,2115,152262,17989,29742,7779,12835,222722,16.5438238854801,1191.01452125342,140.71245762454,232.646056738511,60.8484189149645,100.397153461058,1742.16243187797
"Ohio",11614373,116.14373,1872,78639,19952,30714,6137,5920,143234,16.1179600482953,677.083472349304,171.787146839524,264.448197074435,52.8397012908058,50.9713266484553,1233.24780425082
"Georgia",10310371,103.10371,1929,66433,28497,49357,8132,11175,165523,18.7093170556132,644.331809204538,276.391606082846,478.712162734008,78.8720405890341,108.386012491694,1605.40294815773
"North Carolina",10146788,101.46788,922,84705,11947,24346,6697,2922,131539,9.08661933214728,834.796193632901,117.741693233366,239.937998113295,66.0011818518333,28.7972903346359,1296.36097649818
"Michigan",9928300,99.283,1155,24561,12913,10146,2203,1244,52222,11.6334115608916,247.383741426025,130.062548472548,102.192721815417,22.1890958170079,12.5298389452374,525.991358037126
"New Jersey",8944469,89.44469,426,42674,7730,1130,1144,2568,55672,4.76271984396167,477.099311317419,86.4221229901965,12.6335056893819,12.7900269988079,28.7104801861351,622.418167025902
"Virginia",8411808,84.11808,2854,193728,33199,31205,12665,7705,281356,33.9284967036813,2303.04828640882,394.671395257714,370.966622157805,150.562162141599,91.5974306593779,3344.774393329
"Washington",7288000,72.88,1855,43287,4229,21797,3967,822,75957,25.4527991218441,593.948957189901,58.0268935236004,299.080680570801,54.4319429198683,11.2788144895719,1042.22008781559
"Arizona",6931071,69.31071,1185,86309,16318,28942,10351,2143,145248,17.0969248475452,1245.24766807323,235.432590432272,417.568944251184,149.341999237924,30.9187425723961,2095.60686941455
"Massachusetts",6811779,68.11779,831,15028,6705,6772,2312,981,32629,12.1994562653897,220.617844472053,98.432435931935,99.416026268615,33.9412068418544,14.4015241833301,479.008493963178
"Tennessee",6651194,66.51194,1599,40466,13855,19736,5438,6010,87104,24.0407962840958,608.402040295321,208.308463112037,296.728677587814,81.7597562182068,90.35971586455,1309.59944936202
"Indiana",6633053,66.33053,1615,41343,18880,28395,4709,8816,103758,24.3477626366019,623.287647482992,284.635144630987,428.083417997715,70.9929500035655,132.910139569215,1564.25706232108
"Missouri",6093000,60.93,1378,30433,9472,15052,4080,2499,62914,22.6161168554078,499.474807155753,155.457081897259,247.037584112916,66.9620876415559,41.014278680453,1032.56195634334
"Maryland",6016447,60.16447,998,49865,26074,12340,4102,4068,97447,16.5878632355608,828.811423087413,433.378703410834,205.104441209239,68.1797745413531,67.6146569561736,1619.67686244057
"Wisconsin",5778708,57.78708,760,30096,7292,11156,3169,1224,53697,13.1517287255213,520.808457530645,126.187376140134,193.053533765679,54.8392478041804,21.1812052105765,929.221549176736
"Colorado",5540545,55.40545,961,44598,7111,18689,4859,1660,77878,17.3448640882801,804.9388643175,128.344774746889,337.313387040445,87.6989538032811,29.9609514948439,1405.60179549124
"Minnesota",5519952,55.19952,2654,42890,9264,5655,2404,1132,63999,48.0801282329991,776.999510140668,167.82754632649,102.446543013417,43.5511033429276,20.5074247022438,1159.41225575875
"South Carolina",4961119,49.61119,678,33365,8302,23451,3495,3922,73213,13.6662716616957,672.52972565262,167.341279255749,472.695776900332,70.4478163091835,79.0547455120508,1475.73561529163
"Alabama",4863300,48.633,1166,77283,19390,30849,3765,2234,134687,23.9754898936936,1589.10616248227,398.700470873687,634.322373696873,77.4165689963605,45.9358871548126,2769.45695309769
"Louisiana",4681666,46.81666,543,51268,6686,25203,3603,1712,89015,11.5984352578761,1095.08025561841,142.812409086851,538.334003322749,76.9597831199406,36.5681789345929,1901.35306534042
"Kentucky",4436974,44.36974,1088,30580,13568,22238,2914,1811,72199,24.5212164867317,689.208456033324,305.793993834537,501.19743771318,65.6753904800885,40.8161057513522,1627.21260029921
"Oregon",4093465,40.93465,1549,20825,6415,17537,4158,1439,51923,37.8408023520416,508.737707541166,156.71320018615,428.414558326503,101.576537236791,35.1535923722323,1268.43639801488
"Oklahoma",3923561,39.23561,1169,16087,9136,32192,3804,1675,64063,29.7943628249949,410.010192271765,232.849699545897,820.479151464703,96.9527426743206,42.6908107201596,1632.77695950184
"Connecticut",3576452,35.76452,708,12220,37939,8352,3374,983,63576,19.7961555194925,341.67940741271,1060.79992126275,233.527529518081,94.3393061056041,27.4853402198604,1777.6276600385
"Iowa",3134693,31.34693,876,15398,3495,983,521,965,22238,27.9453203232342,491.212377097215,111.494171837561,31.3587327371452,16.6204473611929,30.7845138263938,709.415563182742
"Utah",3051217,30.51217,455,16117,6699,26039,3725,1332,54367,14.9120826214589,528.215462879238,219.551739519018,853.39718545092,122.082434648208,43.6547122017215,1781.81361732056
"Mississippi",2988726,29.88726,426,9628,4220,10589,1747,798,27408,14.2535648968825,322.143950298555,141.197286067709,354.298118997861,58.4529997062293,26.7003398772587,917.046259844496
"Arkansas",2988248,29.88248,604,45813,5189,14370,2464,1060,69500,20.2125124822304,1533.10568600732,173.646899454128,480.883782068958,82.4563423116154,35.4722901178215,2325.77751244207
"Nevada",2940058,29.40058,812,35251,10336,14928,5504,954,67785,27.6185027642312,1198.98995189891,351.55769035849,507.745085301038,187.207191150651,32.4483394545278,2305.56676092785
"Kansas",2907289,29.07289,704,22580,3667,7715,2276,966,37908,24.2149989216758,776.668573368523,126.13125148549,265.367495285126,78.2859908320088,33.2268309067313,1303.89514079956
"New Mexico",2081015,20.81015,302,79180,3847,6159,2080,683,92251,14.5121491195402,3804.87406385826,184.861714115468,295.96134578559,99.9512257239857,32.8205226776357,4432.98102128048
"Nebraska",1907116,19.07116,763,6291,2217,6576,1354,810,18011,40.0080540460045,329.869813897005,116.248828073384,344.813844569497,70.9972544931719,42.4725082270822,944.410303306144
"West Virginia",1831102,18.31102,446,16928,6774,5020,1349,1023,31540,24.3569173099041,924.470619331965,369.941161115001,274.15184954197,73.671483074127,55.8679964305648,1722.46002680353
"Idaho",1683140,16.8314,641,17172,4039,18176,2437,459,42924,38.0835818767304,1020.23598749955,239.968154758368,1079.88640279478,144.788906448661,27.2704587853654,2550.23349216346
"Hawaii",1428557,14.28557,34,6863,410,143,59,62,7571,2.38002403824279,480.414852190007,28.7002898729277,10.0101011020211,4.13004171342131,4.34004383444273,529.975352751063
"New Hampshire",1334795,13.34795,447,4253,9325,12120,3194,482,29821,33.4882884637716,318.625706569174,698.60914971962,908.004599957297,239.287680879835,36.1104139586978,2234.1258395484
"Maine",1331479,13.31479,578,3320,4858,2467,1725,454,13402,43.4103729762167,249.34677903294,364.857425464465,185.282681889838,129.555178865006,34.0974209882394,1006.54985921671
"Rhode Island",1056426,10.56426,41,3187,639,29,119,113,4128,3.88101012281031,301.677542960889,60.4869626457509,2.74510472101217,11.2643952344982,10.6964425335991,390.75145821856
"Montana",1042520,10.4252,444,3675,2373,7928,1042,438,15900,42.5891110002686,352.511222806277,227.621532440625,760.465027049841,99.9501208609907,42.0135824732379,1525.15059663124
"Delaware",952065,9.52065,32,2748,583,324,184,537,4408,3.36111504991781,288.635754911692,61.2353148156901,34.0312898804178,19.3264115370274,56.4037119314333,462.993598126178
"South Dakota",865454,8.65454,352,3761,1718,7320,547,194,13892,40.6722945413621,434.569601619497,198.508528471762,845.798852394235,63.2038213469462,22.4159805142734,1605.16907888807
"North Dakota",757952,7.57952,204,1926,1581,4836,642,271,9460,26.914633116609,254.105800895043,208.58840665372,638.035126234907,84.7019336316812,35.7542430127501,1248.10014354471
"Alaska",741894,7.41894,322,4651,1652,4213,1333,1268,13439,43.4024267617746,626.908965431719,222.673319908235,567.870881824088,179.675263582129,170.91390414264,1811.44476165059
"Vermont",624594,6.24594,223,2548,1122,405,295,130,4723,35.703192794039,407.945001072697,179.63669199512,64.8421214420888,47.2306810504103,20.8135204628927,756.171208817248
"Wyoming",585501,5.85501,303,120899,1774,3744,675,392,127787,51.7505520912859,20648.8118722257,302.988380890895,639.452366434899,115.285883371677,66.9512093062181,21825.2402643206
