"NAME","LicCount","perCapFFLyear","LicCountMonthly","perCapitaFFL","EstPop16.Wiki","EstPopPerHouseSeat","HouseRate","REGION","DIVISION","STATE","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","RBIRTH2016","RDEATH2016","RNATURALINC2016","RINTERNATIONALMIG2016","RDOMESTICMIG2016","RNETMIG2016","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","OtherWeapon.per100k","DestructiveDevice.per100k","MachineGun.per100k","Silencer.per100k","Rifle.per100k","Shotgun.per100k","Total.per100k"
"California",30579,77.9082465110779,2548.25,6.49235387592316,39250017,738581,53.1424677862008,4,9,6,39250017,256077,502848,273850,228998,142553,-109023,33530,-6451,12.853337671,6.9999016026,5.8534360679,3.6438085564,-2.786745563,0.8570629934,3884,256420,29516,11702,9472,13423,324417,9.89553711530876,653.299080099762,75.1999674293135,29.8139998257835,24.1324736241516,34.198711302469,826.539769396788
"Texas",75956,272.609199803206,6329.66666666667,22.7174333169338,27862596,763031,36.5156802279331,3,7,48,27862596,432957,404533,192814,211719,91839,125703,217542,3696,14.632542888,6.9743608664,7.6581820214,3.3219492755,4.5468590662,7.8688083417,6740,224498,34848,165499,29509,7487,468581,24.1901364826163,805.732531168309,125.070901505373,593.982699960908,105.909011493401,26.8711501254226,1681.75643073603
"Florida",38357,186.086663494796,3196.41666666667,15.5072219578996,20612439,750788,27.4544065701636,3,5,12,20612439,367525,222793,201485,21308,118831,207155,325986,20231,10.905894956,9.8628513697,1.0430435863,5.8168721797,10.14040239,15.957274569,3448,151672,34373,61015,18409,8310,277227,16.7277632695481,735.827526281582,166.758528672905,296.010578854836,89.3101490803684,40.3154619402391,1344.95000809948
"New York",19935,100.960791204423,1661.25,8.41339926703529,19745289,733177,26.9311353193022,1,2,36,19745289,-1894,236507,160713,75794,118478,-191367,-72889,-4799,11.97732064,8.1389182222,3.8384024176,6.0000295753,-9.691315347,-3.691285772,1632,41055,12210,3466,4594,7449,70406,8.26526266594528,207.923013940186,61.8375350191127,17.5535541667686,23.2663092447014,37.725454410923,356.571129447637
"Illinois",24367,190.344301571866,2030.58333333333,15.8620251309888,12801539,714444,17.918183930441,2,3,17,12801539,-37508,155238,108040,47198,30934,-114144,-83210,-1496,12.108771617,8.4272644939,3.6815071231,2.4128933715,-8.903384657,-6.490491286,979,101572,30563,1717,2278,1716,138825,7.64751800545231,793.435851736264,238.744732176342,13.4124498624736,17.7947354611035,13.4046383016917,1084.43992554333
"Pennsylvania",30633,239.615582545585,2552.75,19.9679652121321,12784227,711250,17.9743086115993,1,2,42,12784227,-7677,140897,133053,7844,34678,-45565,-10887,-4634,11.01785098,10.404466571,0.6133844091,2.7117471364,-3.563087787,-0.85134065,2115,152262,17989,29742,7779,12835,222722,16.5438238854801,1191.01452125342,140.71245762454,232.646056738511,60.8484189149645,100.397153461058,1742.16243187797
"Ohio",29632,255.132153926863,2469.33333333333,21.2610128272386,11614373,725839,16.0013074524791,2,3,39,11614373,9283,138012,115938,22074,19591,-27558,-7967,-4824,11.887613422,9.9862774604,1.9013359611,1.6874636593,-2.373698306,-0.686234647,1872,78639,19952,30714,6137,5920,143234,16.1179600482953,677.083472349304,171.787146839524,264.448197074435,52.8397012908058,50.9713266484553,1233.24780425082
"Georgia",23825,231.078008735088,1985.41666666667,19.256500727924,10310371,729633,14.1309000552332,3,5,13,10310371,110973,130862,81525,49337,23831,36781,60612,1024,12.760943334,7.9498701326,4.8110732013,2.3238682015,3.5866810592,5.9105492607,1929,66433,28497,49357,8132,11175,165523,18.7093170556132,644.331809204538,276.391606082846,478.712162734008,78.8720405890341,108.386012491694,1605.40294815773
"North Carolina",28769,283.528147035298,2397.41666666667,23.6273455862749,10146788,772523,13.1346095844396,3,5,37,10146788,111602,120778,89721,31057,20494,59584,80078,467,11.968898582,8.8912016238,3.0776969587,2.0309212568,5.9046751324,7.9355963891,922,84705,11947,24346,6697,2922,131539,9.08661933214728,834.796193632901,117.741693233366,239.937998113295,66.0011818518333,28.7972903346359,1296.36097649818
"Michigan",26151,263.398541200554,2179.25,21.9498784333795,9928301,708755,14.0080860099752,2,3,26,9928300,10585,113437,94353,19084,22511,-27839,-5328,-3171,11.431715637,9.5085083832,1.9232072534,2.2685662588,-2.805500248,-0.536933989,1155,24561,12913,10146,2203,1244,52222,11.6334115608916,247.383741426025,130.062548472548,102.192721815417,22.1890958170079,12.5298389452374,525.991358037126
"New Jersey",3957,44.2396300998975,329.75,3.68663584165812,8944469,746501,11.9818580283215,1,2,34,8944469,9048,102166,74762,27404,50087,-66791,-16704,-1652,11.428034513,8.3626912694,3.0653432432,5.6026071749,-7.471075046,-1.868467871,426,42674,7730,1130,1144,2568,55672,4.76271984396167,477.099311317419,86.4221229901965,12.6335056893819,12.7900269988079,28.7104801861351,622.418167025902
"Virginia",20580,244.65608344841,1715,20.3880069540341,8411808,762090,11.0378144313664,3,5,51,8411808,44221,102366,66558,35808,32545,-25343,7202,1211,12.201393435,7.9333015285,4.2680919068,3.8791625085,-3.020728697,0.8584338112,2854,193728,33199,31205,12665,7705,281356,33.9284967036813,2303.04828640882,394.671395257714,370.966622157805,150.562162141599,91.5974306593779,3344.774393329
"Washington",14427,197.955543358946,1202.25,16.4962952799122,7288000,717035,10.1640784619998,4,9,53,7288000,127710,89982,55979,34003,24410,67571,91981,1726,12.455730055,7.7488754725,4.7068545828,3.3789465743,9.3534944274,12.732441002,1855,43287,4229,21797,3967,822,75957,25.4527991218441,593.948957189901,58.0268935236004,299.080680570801,54.4319429198683,11.2788144895719,1042.22008781559
"Arizona",21759,313.934166884166,1813.25,26.1611805736805,6931071,758674,9.13576977726929,4,8,4,6931071,113506,87204,56564,30640,14861,61544,76405,6461,12.685476581,8.2283071572,4.4571694239,2.161814452,8.9527426575,11.11455711,1185,86309,16318,28942,10351,2143,145248,17.0969248475452,1245.24766807323,235.432590432272,417.568944251184,149.341999237924,30.9187425723961,2095.60686941455
"Massachusetts",5880,86.3210623832629,490,7.19342186527191,6811779,754936,9.02298870367819,1,1,25,6811779,27539,72024,57563,14461,40898,-25606,15292,-2214,10.594866041,8.4676257072,2.1272403341,6.0161728224,-3.766690823,2.2494819991,831,15028,6705,6772,2312,981,32629,12.1994562653897,220.617844472053,98.432435931935,99.416026268615,33.9412068418544,14.4015241833301,479.008493963178
"Tennessee",18427,277.048000704836,1535.58333333333,23.0873333920697,6651194,733367,9.06939363238324,3,6,47,6651194,56138,81443,65454,15989,9440,30519,39959,190,12.296763235,9.8826460319,2.414117203,1.4253090497,4.607945645,6.0332546947,1599,40466,13855,19736,5438,6010,87104,24.0407962840958,608.402040295321,208.308463112037,296.728677587814,81.7597562182068,90.35971586455,1309.59944936202
"Indiana",17601,265.352922703919,1466.75,22.1127435586599,6633053,735520,9.01818169458342,2,3,18,6633053,20285,83267,60909,22358,11052,-12135,-1083,-990,12.572569114,9.196711929,3.3758571854,1.6687527334,-1.832276006,-0.163523273,1615,41343,18880,28395,4709,8816,103758,24.3477626366019,623.287647482992,284.635144630987,428.083417997715,70.9929500035655,132.910139569215,1564.25706232108
"Missouri",26691,438.060068931561,2224.25,36.5050057442967,6093000,760459,8.0122662760254,2,4,29,6093000,16796,74423,58723,15700,8413,-6250,2163,-1067,12.231366982,9.6510831768,2.5802838049,1.382670551,-1.027183043,0.3554875076,1378,30433,9472,15052,4080,2499,62914,22.6161168554078,499.474807155753,155.457081897259,247.037584112916,66.9620876415559,41.014278680453,1032.56195634334
"Maryland",7083,117.727289877232,590.25,9.81060748976929,6016447,750800,8.01338172615876,3,5,24,6016447,21464,73321,50036,23285,26408,-26232,176,-1997,12.208538034,8.331397677,3.8771403571,4.3971450527,-4.367839633,0.0293054199,998,49865,26074,12340,4102,4068,97447,16.5878632355608,828.811423087413,433.378703410834,205.104441209239,68.1797745413531,67.6146569561736,1619.67686244057
"Wisconsin",18875,326.63010486081,1572.91666666667,27.2191754050675,5778708,721417,8.01021877776653,2,3,55,5778708,10817,66079,49823,16256,7990,-12395,-4405,-1034,11.445621347,8.6299004581,2.8157208889,1.3839573021,-2.146952536,-0.762995233,760,30096,7292,11156,3169,1224,53697,13.1517287255213,520.808457530645,126.187376140134,193.053533765679,54.8392478041804,21.1812052105765,929.221549176736
"Colorado",20702,373.645552919433,1725.16666666667,31.1371294099528,5540545,779511,7.10771881346126,4,8,8,5540545,91726,67453,37121,30332,10557,50216,60773,621,12.276051644,6.7558049765,5.5202466676,1.9213122798,9.1390184182,11.060330698,961,44598,7111,18689,4859,1660,77878,17.3448640882801,804.9388643175,128.344774746889,337.313387040445,87.6989538032811,29.9609514948439,1405.60179549124
"Minnesota",17391,315.057087452934,1449.25,26.2547572877445,5519952,686199,8.04424372521674,2,4,27,5519952,37517,69190,41938,27252,13644,-1762,11882,-1617,12.577270732,7.6234366233,4.9538341089,2.4801890717,-0.320294133,2.1598949392,2654,42890,9264,5655,2404,1132,63999,48.0801282329991,776.999510140668,167.82754632649,102.446543013417,43.5511033429276,20.5074247022438,1159.41225575875
"South Carolina",13354,269.173144203959,1112.83333333333,22.4310953503299,4961119,699449,7.09289597954962,3,5,45,4961119,66285,57926,47514,10412,5760,47084,52844,3029,11.754520339,9.6416855884,2.1128347507,1.1688367426,9.5544286788,10.723265421,678,33365,8302,23451,3495,3922,73213,13.6662716616957,672.52972565262,167.341279255749,472.695776900332,70.4478163091835,79.0547455120508,1475.73561529163
"Alabama",14761,303.518187239117,1230.08333333333,25.2931822699265,4863300,694140,7.00622352839485,3,6,1,4863300,9425,58556,52405,6151,4738,-864,3874,-600,12.052062456,10.786056647,1.2660058093,0.9751805437,-0.177829462,0.797351082,1166,77283,19390,30849,3765,2234,134687,23.9754898936936,1589.10616248227,398.700470873687,634.322373696873,77.4165689963605,45.9358871548126,2769.45695309769
"Louisiana",14627,312.431514764189,1218.91666666667,26.0359595636824,4681666,778454,6.0140560649698,3,7,22,4681666,12706,63570,45030,18540,7223,-12243,-5020,-814,13.596950621,9.6314407185,3.9655099028,1.5449233025,-2.618648206,-1.073724904,543,51268,6686,25203,3603,1712,89015,11.5984352578761,1095.08025561841,142.812409086851,538.334003322749,76.9597831199406,36.5681789345929,1901.35306534042
"Kentucky",16951,382.039651347968,1412.58333333333,31.8366376123307,4436974,737515,6.01611357057145,3,6,21,4436974,12363,55198,44883,10315,6734,-3429,3305,-1257,12.457816519,10.129790551,2.3280259683,1.5198184072,-0.773902186,0.7459162215,1088,30580,13568,22238,2914,1811,72199,24.5212164867317,689.208456033324,305.793993834537,501.19743771318,65.6753904800885,40.8161057513522,1627.21260029921
"Oregon",17350,423.846301360828,1445.83333333333,35.3205251134023,4093465,805795,5.08003276267537,4,9,41,4093465,68831,46198,35371,10827,6934,50038,56972,1032,11.38148229,8.7141090543,2.667373236,1.7082817049,12.327516577,14.035798282,1549,20825,6415,17537,4158,1439,51923,37.8408023520416,508.737707541166,156.71320018615,428.414558326503,101.576537236791,35.1535923722323,1268.43639801488
"Oklahoma",18364,468.044207800006,1530.33333333333,39.0036839833339,3923561,782268,5.01562252322733,3,7,40,3923561,16147,53175,39588,13587,6716,-3822,2894,-334,13.580684398,10.11061841,3.470065988,1.7152398009,-0.976123663,0.7391161382,1169,16087,9136,32192,3804,1675,64063,29.7943628249949,410.010192271765,232.849699545897,820.479151464703,96.9527426743206,42.6908107201596,1632.77695950184
"Connecticut",6473,180.98942751084,539.416666666667,15.08245229257,3576452,718177,4.97990328289544,1,1,9,3576452,-8278,35848,30638,5210,17058,-29880,-12822,-666,10.011755043,8.5566879881,1.4550670546,4.7640180071,-8.344991092,-3.580973085,708,12220,37939,8352,3374,983,63576,19.7961555194925,341.67940741271,1060.79992126275,233.527529518081,94.3393061056041,27.4853402198604,1777.6276600385
"Iowa",15442,492.616023323496,1286.83333333333,41.051335276958,3134693,780975,4.01381990460642,2,4,19,3134693,12696,39349,28739,10610,6336,-3392,2944,-858,12.578216277,9.1866466135,3.3915696638,2.0253520632,-1.084279387,0.9410726758,876,15398,3495,983,521,965,22238,27.9453203232342,491.212377097215,111.494171837561,31.3587327371452,16.6204473611929,30.7845138263938,709.415563182742
"Utah",11105,363.953137387475,925.416666666667,30.3294281156229,3051217,748083,4.07871452766605,4,8,49,3051217,60585,51444,16447,34997,5634,19778,25412,176,17.029224001,5.4443598309,11.58486417,1.8649919917,6.547002416,8.4119944077,455,16117,6699,26039,3725,1332,54367,14.9120826214589,528.215462879238,219.551739519018,853.39718545092,122.082434648208,43.6547122017215,1781.81361732056
"Mississippi",11264,376.882992954188,938.666666666667,31.4069160795157,2988726,748083,3.99517967926019,3,6,28,2988726,-664,37880,31006,6874,2223,-9690,-7467,-71,12.672888917,10.373167734,2.2997211831,0.7437125676,-3.241824013,-2.498111445,426,9628,4220,10589,1747,798,27408,14.2535648968825,322.143950298555,141.197286067709,354.298118997861,58.4529997062293,26.7003398772587,917.046259844496
"Arkansas",15251,510.365940176317,1270.91666666667,42.5304950146931,2988248,744551,4.01349000941507,3,7,5,2988248,10395,37936,30581,7355,3335,195,3530,-490,12.717183299,10.251586421,2.4655968781,1.1179830848,0.0653693258,1.1833524106,604,45813,5189,14370,2464,1060,69500,20.2125124822304,1533.10568600732,173.646899454128,480.883782068958,82.4563423116154,35.4722901178215,2325.77751244207
"Nevada",7452,253.464387437255,621,21.1220322864379,2940058,722711,4.06809637600645,4,8,32,2940058,56300,36462,23771,12691,7392,34575,41967,1642,12.521686812,8.1633760407,4.3583107708,2.5385417396,11.873658096,14.412199836,812,35251,10336,14928,5504,954,67785,27.6185027642312,1198.98995189891,351.55769035849,507.745085301038,187.207191150651,32.4483394545278,2305.56676092785
"Kansas",13432,462.011172607883,1119.33333333333,38.5009310506569,2907289,727910,3.99402261268563,2,4,20,2907289,568,38702,25128,13574,5851,-18595,-12744,-262,13.313358594,8.6439479808,4.6694106133,2.0127244363,-6.396617825,-4.383893389,704,22580,3667,7715,2276,966,37908,24.2149989216758,776.668573368523,126.13125148549,265.367495285126,78.2859908320088,33.2268309067313,1303.89514079956
"New Mexico",8291,398.411352152675,690.916666666667,33.200946012723,2081015,695036,2.99411109640364,4,8,35,2081015,687,25491,17799,7692,2637,-9748,-7111,106,12.251333284,8.5544498495,3.696883434,1.2673793052,-4.685025964,-3.417646659,302,79180,3847,6159,2080,683,92251,14.5121491195402,3804.87406385826,184.861714115468,295.96134578559,99.9512257239857,32.8205226776357,4432.98102128048
"Nebraska",8228,431.436787274607,685.666666666667,35.9530656062173,1907116,632063,3.01728783364949,2,4,31,1907116,13351,26553,15355,11198,4187,-2144,2043,110,13.972023854,8.0797057314,5.8923181231,2.2031734222,-1.128159498,1.0750139244,763,6291,2217,6576,1354,810,18011,40.0080540460045,329.869813897005,116.248828073384,344.813844569497,70.9972544931719,42.4725082270822,944.410303306144
"West Virginia",10736,586.313596948723,894.666666666667,48.8594664123936,1831102,614709,2.97881111224986,3,5,54,1831102,-9951,19799,22479,-2680,1076,-7659,-6583,-688,10.783313885,12.242947261,-1.459633376,0.5860319077,-4.171392547,-3.58536064,446,16928,6774,5020,1349,1023,31540,24.3569173099041,924.470619331965,369.941161115001,274.15184954197,73.671483074127,55.8679964305648,1722.46002680353
"Idaho",11462,680.989103699039,955.166666666667,56.7490919749199,1683140,827465,2.03409207640202,4,8,16,1683140,30312,22792,12496,10296,1726,17143,18869,1147,13.664399659,7.4916785773,6.1727210813,1.0347821082,10.277676524,11.312458633,641,17172,4039,18176,2437,459,42924,38.0835818767304,1020.23598749955,239.968154758368,1079.88640279478,144.788906448661,27.2704587853654,2550.23349216346
"Hawaii",1252,87.6408851729402,104.333333333333,7.30340709774502,1428557,715802,1.99574323625807,4,9,15,1428557,3400,18507,12237,6270,7438,-10021,-2583,-287,12.970465856,8.5761922884,4.3942735677,5.2128559484,-7.023128456,-1.810272508,34,6863,410,143,59,62,7571,2.38002403824279,480.414852190007,28.7002898729277,10.0101011020211,4.13004171342131,4.34004383444273,529.975352751063
"New Hampshire",5961,446.585430721571,496.75,37.215452560131,1334795,665304,2.00629336363527,1,1,33,1334795,4684,12274,11572,702,2175,2187,4362,-380,9.211581947,8.6847340957,0.5268478513,1.6323277444,1.6413336906,3.273661435,447,4253,9325,12120,3194,482,29821,33.4882884637716,318.625706569174,698.60914971962,908.004599957297,239.287680879835,36.1104139586978,2234.1258395484
"Maine",6210,466.398643914023,517.5,38.866553659502,1331479,664664,2.00323622160972,1,1,23,1331479,2026,12542,13842,-1300,1785,2169,3954,-628,9.4267722738,10.40387353,-0.977101256,1.3416351865,1.6302558652,2.9718910517,578,3320,4858,2467,1725,454,13402,43.4103729762167,249.34677903294,364.857425464465,185.282681889838,129.555178865006,34.0974209882394,1006.54985921671
"Rhode Island",1087,102.894097646215,90.5833333333333,8.57450813718456,1056426,528149,2.00024235585034,1,1,44,1056426,819,10770,9849,921,4203,-3784,419,-521,10.198704282,9.326558818,0.8721454636,3.9800514481,-3.583277345,0.3967741034,41,3187,639,29,119,113,4128,3.88101012281031,301.677542960889,60.4869626457509,2.74510472101217,11.2643952344982,10.6964425335991,390.75145821856
"Montana",12987,1245.73149675786,1082.25,103.810958063155,1042520,1032949,1.00926570430873,4,8,30,1042520,10447,12431,9597,2834,569,6853,7422,191,11.984037351,9.2519351989,2.7321021521,0.5485413283,6.606597053,7.1551383814,444,3675,2373,7928,1042,438,15900,42.5891110002686,352.511222806277,227.621532440625,760.465027049841,99.9501208609907,42.0135824732379,1525.15059663124
"Delaware",1433,150.514933329132,119.416666666667,12.542911110761,952065,952065,1,3,5,10,952065,7989,10922,8945,1977,2556,3027,5583,429,11.52024032,9.4349523585,2.0852879612,2.6960020378,3.1928005354,5.8888025732,32,2748,583,324,184,537,4408,3.36111504991781,288.635754911692,61.2353148156901,34.0312898804178,19.3264115370274,56.4037119314333,462.993598126178
"South Dakota",6194,715.6937283784,516.166666666667,59.6411440315334,865454,858469,1.00813657802437,2,4,46,865454,7535,12114,7296,4818,1632,941,2573,144,14.058477184,8.4671165209,5.5913606631,1.8939602744,1.0920444965,2.9860047709,352,3761,1718,7320,547,194,13892,40.6722945413621,434.569601619497,198.508528471762,845.798852394235,63.2038213469462,22.4159805142734,1605.16907888807
"North Dakota",4952,653.339525458077,412.666666666667,54.4449604548397,757952,756927,1.00135415964816,2,4,38,757952,1117,11824,6172,5652,1575,-6259,-4684,149,15.611435799,8.1490004865,7.4624353127,2.0795002862,-8.263868121,-6.184367835,204,1926,1581,4836,642,271,9460,26.914633116609,254.105800895043,208.58840665372,638.035126234907,84.7019336316812,35.7542430127501,1248.10014354471
"Alaska",7284,981.811417803622,607,81.8176181503018,741894,741894,1,4,9,2,741894,4185,11255,4511,6744,2030,-4587,-2557,-2,15.213540389,6.097581581,9.1159588079,2.7439792971,-6.20031184,-3.456332543,322,4651,1652,4213,1333,1268,13439,43.4024267617746,626.908965431719,222.673319908235,567.870881824088,179.675263582129,170.91390414264,1811.44476165059
"Vermont",3724,596.227309260095,310.333333333333,49.6856091050079,624594,626042,0.997687056140003,1,1,50,624594,-1494,6035,5547,488,955,-2865,-1910,-72,9.6507345592,8.8703603314,0.7803742278,1.5271667778,-4.581500333,-3.054333556,223,2548,1122,405,295,130,4723,35.703192794039,407.945001072697,179.63669199512,64.8421214420888,47.2306810504103,20.8135204628927,756.171208817248
"Wyoming",7358,1256.70152570192,613.166666666667,104.725127141827,585501,586107,0.998966059098424,4,8,56,585501,-1054,7590,4838,2752,524,-4347,-3823,17,12.951599582,8.2555782318,4.6960213505,0.8941552281,-7.417734306,-6.523579078,303,120899,1774,3744,675,392,127787,51.7505520912859,20648.8118722257,302.988380890895,639.452366434899,115.285883371677,66.9512093062181,21825.2402643206
